"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 14:03:39 GMT 2025","Fri Mar 14 14:03:43 GMT 2025","4133","tests","test_games","TestGames","","","Get one game by title",""
"passed","Fri Mar 14 14:04:53 GMT 2025","Fri Mar 14 14:04:57 GMT 2025","4366","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"passed","Fri Mar 14 14:04:47 GMT 2025","Fri Mar 14 14:04:49 GMT 2025","2745","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Fri Mar 14 14:04:11 GMT 2025","Fri Mar 14 14:04:14 GMT 2025","2988","tests","test_users","TestUsers","","","Create new user",""
"passed","Fri Mar 14 14:04:15 GMT 2025","Fri Mar 14 14:04:17 GMT 2025","2380","tests","test_users","TestUsers","","","Delete created user",""
"passed","Fri Mar 14 14:04:49 GMT 2025","Fri Mar 14 14:04:53 GMT 2025","3208","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Fri Mar 14 14:04:23 GMT 2025","Fri Mar 14 14:04:26 GMT 2025","3371","tests","test_users","TestUsers","","","Login under created user",""
"passed","Fri Mar 14 14:04:27 GMT 2025","Fri Mar 14 14:04:47 GMT 2025","19525","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Fri Mar 14 14:03:37 GMT 2025","Fri Mar 14 14:03:39 GMT 2025","2304","tests","test_games","TestGames","","","Get full list of games",""
"passed","Fri Mar 14 14:04:18 GMT 2025","Fri Mar 14 14:04:22 GMT 2025","3622","tests","test_users","TestUsers","","","Update created user",""
